id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series
all_games9339;Lawn Mowing Simulator; Xbox Series X;;August 10, 2021;;;72;0.0;;"Experience the beauty and detail of mowing the Great British countryside in Lawn Mowing Simulator, the only simulator that allows you to ride an authentic and expansive roster of real-world licensed lawn mowers from prestigious manufacturers; Toro, SCAG and STIGA as you manage your mowing business.";;;Windowgames_2121;Microsoft Flight Simulator X;PC;Microsoft;2006-01-01;;Simulator;;;ACES Studios;;;
all_games7817;Afterparty; PC;;October 29, 2019;;;75;6.8;;In Afterparty, you are Milo and Lola, recently deceased best buds who suddenly find themselves staring down an eternity in Hell. But there’s a loophole: outdrink Satan and he’ll grant you re-entry to Earth. What adventures will you stumble through in the underworld? Every step is up to you. Time to go on the best bender ever, uncover the mystery of why you’ve been damned, and drink the big guy under the table. [Night School];;;Windowgames_2495;Pax Corpus;PC;Cryo Interactive;1997-01-01;;Adventure;;;Cryo Interactive;;;
all_games10870;Radical Rabbit Stew; PlayStation 4;;July 16, 2020;;;70;6.6;;Radical Rabbit Stew is an action-packed title that combines puzzle-solving with fast-paced whack-a-rabbit gameplay, delivering bite-sized pick-up-and-play action, juicy pixel graphics and a sizzling soundtrack in one mouth-watering package.;;;Windowgames_2809;Roma Victor;PC;RedBedlam;2006-01-01;;Role-playing (RPG);;;RedBedlam;;;
all_games10691;Naruto Shippuden: Ultimate Ninja Storm 4 - Road to Boruto Expansion; PlayStation 4;;February 3, 2017;;;70;7.1;;Naruto Shippuden: Ultimate Ninja Storm 4 Road to Boruto concludes the Ultimate Ninja Storm series and collects all of the DLC content packs for Storm 4 and previously exclusive pre-order bonuses. Players get the Ultimate Ninja Storm 4 game, content packs, and an all-new adventure Road to Boruto, which contains many new hours of gameplay focusing on the son of Naruto. [Playstation.com];;;Windowgames_1972;Lugaru;PC;Wolfire Games;2005-01-01;;Fighting;;;Wolfire Games;;;
all_games7775;RIVE; PlayStation 4;;September 13, 2016;;;75;7.0;;Rive is a metal-wrecking, robot-hacking shooter. This 360-degree shooter/platformer hybrid lets you choreograph a dance of destruction during an insane sequence of spectacular battles and set pieces. Rive feels like the explosive games of yore, pumping megapixels in true 21st century style. [Playstation.com];;;Windowgames_3265;Stronghold: Crusader;PC;Take 2 Interactive and God Games;2002-01-01;;Simulator,Strategy;;;Firefly Studios;;;
all_games9128;Kona; PC;;March 10, 2016;;;73;7.2;;Northern Canada, 1970. A strange blizzard ravages Atamipek Lake. Step into the shoes of a detective to explore the eerie village, investigate surreal events, and battle the elements to survive. The first installment in a series of four games, Kona is a chilly interactive tale you won't soon forget.;;;Windowgames_3462;Total Club Manager 2005;PC;Electronic Arts;2004-01-01;;Simulator,Sport;;;EA Canada;;;
all_games10023;Spectrobes: Origins; Wii;;August 18, 2009;;;71;8.6;;Spectrobes: Origins brings the successful series to Wii for the first time with a new story that reveals secrets from the past through flashbacks of significant events. In Spectrobes: Origins, players use the unique Wii controls to explore vast worlds, excavate three-dimensional fossils and unravel an engaging story while discovering the key to preventing a galactic threat. While immersed in the universe as never before, players fight enemies by controlling planetary patrol officer Rallen and commanding a Spectrobe creature at his side in large-scale, real-time battles. [Disney Interactive];;;Windowgames_827;Dead Mans Hand;PC;Atari;2004-01-01;;Shooter;;;Human Head Studios;;;
all_games10746;Tokyo 42; PC;;May 31, 2017;;;70;7.0;;Tokyo 42 is the lovechild of Syndicate and GTA 1. Set in a future Tokyo, the game will see you become an assassin and uncover a dark conspiracy that will affect everyone.;;;Windowgames_2533;Pirates of the Caribbean: At Worlds End;PC;Buena Vista Games;2007-01-01;;Adventure;;;Eurocom;;;
all_games10251;Nano Assault Neo; Wii U;;November 18, 2012;;;71;7.4;;Nano Assault Neo is a fast paced shoot'em'up set in a microscopic world.;;;Windowgames_2040;Marathon 2: Durandal;PC;Bungie;1995-01-01;;Shooter;;;Bungie;;;
all_games8443;Roundabout; Xbox One;;February 20, 2015;;;74;5.6;;Roundabout is an open world driving puzzle game where you control a constantly rotating limousine! Pick up passengers, find secret collectables, take on dangerous missions, and fall in love while reliving the 1977 rise to fame story of Georgio Manos.;;;Windowgames_2606;Pro Evolution Soccer 4;PC;Konami;2004-01-01;;Sport;;;Konami;;;
all_games8015;Ivy the Kiwi?; Wii;;August 24, 2010;;;74;7.2;;Ivy the Kiwi? follows the storybook adventures of a lonely baby bird as she traverses beautiful 2-D landscapes and challenging obstacles in search of her mother. Players guide Ivy through her daunting journey utilising a unique control scheme: vines created and controlled by the player who aims to collect feathers to boost his score.;;;Windowgames_2468;Pajama Sam: No Need to Hide When Its Dark Outside;PC;Atari;1998-01-01;;Puzzle,Adventure;;;Humongous Entertainment;;;
all_games7947;Borderlands 3: Moxxi's Heist of the Handsome Jackpot; PC;;December 19, 2019;;;75;5.9;;"Moxxi's assembling a crew to plunder a derelict space station casino and you've proven yourself worthy of joining her ragtag team of ""experts."" Successfully battle your way through Hyperion security forces and crazed casino-goers to reach a safe loaded with Eridium, cash, and all-new Legendary loot.";;;Windowgames_1252;FIFA 09;PC;EA Sports;2008-01-01;;Simulator,Sport;;;EA Canada;;;
